Work ID,State,District,Constituency,Hon'ble MP,Tenure,Category,Work Title,Location,Recommended Amount (₹),Sanctioned Amount (₹),Released Amount (₹),Expenditure (₹),Recommendation Date,Sanction Date,Start Date,Completion Date,Status,Implementing Agency,Contractor Name,Latitude,Longitude,Data Source Portal
MOSPI-2024-RA-0062,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Kota,"Kota Sub-Division, Rajasthan",2220000,2040000,1750000,900000,2024-10-14,2024-12-06,2025-01-19,,Ongoing,Public Health Engineering Dept (PHED) Jodhpur,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0063,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,17th Lok Sabha,Sanitation,Construction of Modern Community Sanitary Complex with Running Water Facility at Jodhpur,"Jodhpur Sub-Division, Rajasthan",2180000,1940000,1400000,1080000,2023-08-07,2023-10-17,2023-11-20,,Ongoing,Ajmer Zila Parishad,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0064,Tamil Nadu,Salem,Salem,S. R. Parthiban,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Salem,"Salem Sub-Division, Tamil Nadu",4460000,4310000,3780000,670000,2024-09-05,2024-10-26,,,Sanctioned,Salem Rural Development Agency,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-WE-0065,West Bengal,North 24 Parganas,Barasat,Kakoli Ghosh Dastidar,17th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at North 24 Parganas,"North 24 Parganas Sub-Division, West Bengal",2240000,2120000,2030000,1770000,2023-12-06,2024-03-01,2024-04-04,,Ongoing,Howrah Zilla Parishad,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0066,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Jodhpur,"Jodhpur Sub-Division, Rajasthan",2010000,1790000,1390000,1730000,2024-10-10,2024-11-04,2024-11-20,2025-04-18,Completed,Public Health Engineering Dept (PHED) Jodhpur,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0067,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Thane,"Thane Sub-Division, Maharashtra",4640000,4570000,2860000,2180000,2024-07-15,2024-09-20,2024-10-06,,Ongoing,PWD Division Nagpur,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0068,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,18th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Jorhat,"Jorhat Sub-Division, Assam",1720000,1660000,1290000,1710000,2024-10-15,2024-12-23,2025-01-10,2025-05-26,Completed,DRDA Dibrugarh,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0069,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,17th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Jorhat,"Jorhat Sub-Division, Assam",1530000,1510000,930000,1470000,2023-06-10,2023-07-27,2023-09-09,2024-09-01,Completed,Guwahati Municipal Corporation,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0070,Uttar Pradesh,Prayagraj,Allahabad,Rita Bahuguna Joshi,17th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Prayagraj,"Prayagraj Sub-Division, Uttar Pradesh",2160000,2030000,1300000,1960000,2023-06-17,2023-08-23,2023-09-07,2024-04-19,Completed,Prayagraj Zila Panchayat,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0071,Rajasthan,Ajmer,Ajmer,Bhagirath Choudhary,17th Lok Sabha,Healthcare,Renovation of Maternity and Neonatal Care Ward in Taluk Hospital at Ajmer,"Ajmer Sub-Division, Rajasthan",2750000,2540000,1780000,1000000,2023-12-23,2024-02-02,2024-03-11,,Ongoing,Ajmer Zila Parishad,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-KA-0072,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,18th Lok Sabha,Road & Connectivity,Construction of Cement Concrete Link Road with Covered Storm-water Drainage at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",8630000,7920000,5820000,4660000,2025-01-13,2025-02-12,2025-03-15,,Ongoing,DRDA Dharwad,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0073,Maharashtra,Nashik,Nashik,Hemant Godse,17th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Nashik,"Nashik Sub-Division, Maharashtra",2120000,2010000,1820000,1460000,2023-12-14,2024-02-28,2024-03-09,,Ongoing,Thane Zilla Parishad,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0074,Karnataka,Dharwad,Dharwad,Pralhad Joshi,17th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Dharwad,"Dharwad Sub-Division, Karnataka",3010000,2830000,0.0,0.0,2023-12-20,,,,Recommended,DRDA Dharwad,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0075,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",2430000,2250000,1920000,2150000,2023-07-20,2023-09-26,2023-10-20,2024-03-17,Completed,Salem Rural Development Agency,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0076,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",2760000,2440000,1860000,1310000,2024-06-25,2024-08-03,2024-08-16,,Ongoing,Bhopal Municipal Corporation,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0077,Uttar Pradesh,Prayagraj,Allahabad,Rita Bahuguna Joshi,17th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Prayagraj,"Prayagraj Sub-Division, Uttar Pradesh",2070000,1910000,1770000,1330000,2023-09-23,2023-09-13,2023-10-11,,Ongoing,DRDA Gorakhpur,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0078,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,17th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",3230000,2900000,2540000,2980000,2023-10-15,2023-12-28,2024-01-31,2024-06-08,Completed,DRDA Dharwad,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-WE-0079,West Bengal,Kolkata,Kolkata South,Mala Roy,17th Lok Sabha,Road & Connectivity,Bituminous Surface Renewal of Village Approach Road to National Highway at Kolkata,"Kolkata Sub-Division, West Bengal",3930000,3880000,3160000,3950000,2023-06-14,2023-07-27,2023-09-04,2024-05-29,Completed,Darjeeling Gorkhaland Territorial Admin,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0080,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,18th Lok Sabha,Sanitation,Installation of Bio-Toilets at Public Bus Stands and Weekly Market Yards at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",1860000,1760000,1190000,1820000,2024-07-29,2024-08-21,2024-09-08,2025-05-02,Completed,Karnataka Rural Infrastructure Development Ltd (KRIDL),Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-WE-0081,West Bengal,Howrah,Howrah,Prasun Banerjee,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Howrah,"Howrah Sub-Division, West Bengal",2870000,2810000,0.0,0.0,2023-07-15,,,,Recommended,Darjeeling Gorkhaland Territorial Admin,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0082,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Thane,"Thane Sub-Division, Maharashtra",760000,670000,650000,690000,2024-01-24,2024-04-03,2024-04-18,2024-10-28,Completed,Nashik Municipal Corporation,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0083,Rajasthan,Jaipur,Jaipur,Ramcharan Bohra,18th Lok Sabha,Education,Supply of Dual Desks and Laboratory Equipment to Rural High Schools at Jaipur,"Jaipur Sub-Division, Rajasthan",2700000,2500000,1910000,1330000,2024-12-21,2025-02-02,2025-02-14,,Ongoing,Kota Urban Improvement Trust,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0084,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Dibrugarh","Dibrugarh Sub-Division, Assam",3220000,3130000,3050000,390000,2024-03-18,2024-05-23,,,Sanctioned,PWD (Roads) Jorhat,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-MA-0085,Madhya Pradesh,Indore,Indore,Shankar Lalwani,18th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Indore,"Indore Sub-Division, Madhya Pradesh",2230000,1970000,1550000,1980000,2025-01-20,2025-03-21,2025-04-07,2025-11-18,Completed,PWD Gwalior Division,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-RA-0086,Rajasthan,Udaipur,Udaipur,Arjun Lal Meena,18th Lok Sabha,Education,Establishment of Digital Smart Classrooms and STEM Lab in Govt Higher Secondary School at Udaipur,"Udaipur Sub-Division, Rajasthan",3730000,3460000,2560000,2290000,2025-01-18,2025-02-18,2025-03-12,,Ongoing,PWD Road Division Jaipur,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0087,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,18th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",850000,800000,600000,790000,2024-12-02,2025-02-28,2025-04-10,2025-11-20,Completed,Karnataka Rural Infrastructure Development Ltd (KRIDL),,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0088,West Bengal,Kolkata,Kolkata South,Mala Roy,18th Lok Sabha,Sanitation,Construction of Modern Community Sanitary Complex with Running Water Facility at Kolkata,"Kolkata Sub-Division, West Bengal",590000,570000,510000,590000,2024-12-28,2025-03-05,2025-04-13,2026-03-01,Completed,Howrah Zilla Parishad,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0089,Maharashtra,Pune,Pune,Murlidhar Mohol,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Pune,"Pune Sub-Division, Maharashtra",2320000,2300000,1740000,180000,2024-02-16,2024-04-24,,,Sanctioned,Nashik Municipal Corporation,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0090,Tamil Nadu,Salem,Salem,S. R. Parthiban,18th Lok Sabha,Road & Connectivity,Construction of Box Culvert Bridge over Drainage Channel connecting Rural Hamlets at Salem,"Salem Sub-Division, Tamil Nadu",8150000,7170000,7020000,5180000,2024-01-02,2024-01-18,2024-02-15,,Ongoing,PWD Buildings Division Chennai,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0091,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",2510000,2460000,2270000,920000,2024-05-05,2024-05-31,2024-07-03,,Ongoing,PWD Belagavi Division,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0092,Tamil Nadu,Chennai,Chennai South,Thamizhachi Thangapandian,17th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Chennai,"Chennai Sub-Division, Tamil Nadu",2650000,2420000,1470000,630000,2023-04-19,2023-07-18,2023-08-03,,Ongoing,DRDA Chennai,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0093,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Road & Connectivity,Construction of Cement Concrete Link Road with Covered Storm-water Drainage at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",4130000,4110000,2530000,500000,2024-08-01,2024-10-12,,,Sanctioned,PWD Provincial Division Varanasi,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0094,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,17th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",910000,900000,540000,850000,2023-12-03,2023-12-22,2024-01-04,2024-09-06,Completed,Bhopal Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0095,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",2910000,2710000,1990000,990000,2024-11-26,2025-01-11,2025-01-23,,Ongoing,PWD Provincial Division Varanasi,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0096,Maharashtra,Nagpur,Nagpur,Nitin Gadkari,17th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Nagpur,"Nagpur Sub-Division, Maharashtra",790000,750000,0.0,0.0,2023-09-25,,,,Recommended,Maharashtra Jeevan Pradhikaran,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0097,Maharashtra,Nagpur,Nagpur,Nitin Gadkari,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Nagpur,"Nagpur Sub-Division, Maharashtra",3020000,2630000,2300000,2580000,2023-08-04,2023-10-05,2023-11-19,2024-04-18,Completed,PWD Division Nagpur,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0098,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Nashik,"Nashik Sub-Division, Maharashtra",2070000,1970000,1390000,600000,2024-05-09,2024-06-22,2024-07-23,,Ongoing,Thane Zilla Parishad,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-UT-0099,Uttar Pradesh,Kanpur Nagar,Kanpur,Satyadev Pachauri,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Kanpur Nagar,"Kanpur Nagar Sub-Division, Uttar Pradesh",1430000,1290000,850000,1260000,2025-03-01,2025-04-05,2025-05-09,2025-12-20,Completed,Prayagraj Zila Panchayat,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0100,Uttar Pradesh,Prayagraj,Allahabad,Rita Bahuguna Joshi,18th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Prayagraj,"Prayagraj Sub-Division, Uttar Pradesh",710000,640000,570000,640000,2024-02-12,2024-03-17,2024-04-05,2024-07-17,Completed,PWD Provincial Division Varanasi,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0101,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Community Infrastructure,Construction of Multipurpose Community Hall for Public Cultural and Civic Events at Dibrugarh,"Dibrugarh Sub-Division, Assam",2720000,2400000,2060000,410000,2024-11-23,2025-02-17,,,Sanctioned,Guwahati Municipal Corporation,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0102,Tamil Nadu,Chennai,Chennai South,Thamizhachi Thangapandian,18th Lok Sabha,Road & Connectivity,Bituminous Surface Renewal of Village Approach Road to National Highway at Chennai,"Chennai Sub-Division, Tamil Nadu",4000000,3900000,0.0,0.0,2024-06-21,,,,Recommended,PWD Buildings Division Chennai,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0103,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,17th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",990000,880000,670000,830000,2023-10-12,2024-01-02,2024-02-03,2024-11-24,Completed,DRDA Gorakhpur,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0104,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",3580000,3470000,2390000,1340000,2024-05-09,2024-07-03,2024-08-02,,Ongoing,PWD Gwalior Division,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0105,Maharashtra,Pune,Pune,Murlidhar Mohol,18th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Pune,"Pune Sub-Division, Maharashtra",3770000,3400000,0.0,0.0,2024-07-29,,,,Recommended,Zilla Parishad Pune (Works Dept),National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0106,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,18th Lok Sabha,Education,Modernization of School Library and Computer Learning Centre at Jodhpur,"Jodhpur Sub-Division, Rajasthan",1960000,1860000,1560000,200000,2024-10-10,2024-10-27,,,Sanctioned,Kota Urban Improvement Trust,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0107,Maharashtra,Pune,Pune,Murlidhar Mohol,17th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Pune,"Pune Sub-Division, Maharashtra",1110000,1110000,710000,1020000,2023-07-30,2023-08-24,2023-09-20,2024-02-27,Completed,PWD Division Nagpur,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0108,Rajasthan,Kota,Kota,Om Birla,17th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Kota,"Kota Sub-Division, Rajasthan",3390000,2950000,0.0,0.0,2023-06-07,,,,Recommended,PWD Road Division Jaipur,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0109,Uttar Pradesh,Lucknow,Lucknow,Rajnath Singh,18th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Lucknow,"Lucknow Sub-Division, Uttar Pradesh",6840000,6190000,0.0,0.0,2024-04-21,,,,Recommended,PWD Provincial Division Varanasi,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0110,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Jorhat","Jorhat Sub-Division, Assam",2810000,2670000,2570000,2220000,2024-09-14,2024-11-09,2024-12-07,,Ongoing,PWD (Roads) Jorhat,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0111,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",1410000,1290000,980000,1230000,2024-07-22,2024-08-17,2024-09-10,2025-04-04,Completed,Mysuru Zilla Panchayat,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0112,Karnataka,Dharwad,Dharwad,Pralhad Joshi,17th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Dharwad,"Dharwad Sub-Division, Karnataka",900000,850000,620000,490000,2023-11-20,2023-12-31,2024-02-11,,Ongoing,Karnataka Rural Infrastructure Development Ltd (KRIDL),Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0113,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",800000,720000,600000,320000,2024-05-14,2024-07-07,2024-07-19,,Ongoing,Indore Development Authority,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-UT-0114,Uttar Pradesh,Lucknow,Lucknow,Rajnath Singh,18th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Lucknow,"Lucknow Sub-Division, Uttar Pradesh",1480000,1310000,850000,520000,2025-02-23,2025-03-10,2025-04-19,,Ongoing,Kanpur Development Authority,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0115,Maharashtra,Thane,Thane,Rajan Vichare,17th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Thane,"Thane Sub-Division, Maharashtra",2290000,2230000,1930000,2200000,2023-09-23,2023-10-31,2023-11-12,2024-09-23,Completed,Nashik Municipal Corporation,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0116,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,17th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",3080000,2860000,2610000,2000000,2023-05-01,2023-06-07,2023-07-19,,Ongoing,Guwahati Municipal Corporation,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0117,Tamil Nadu,Chennai,Chennai South,Thamizhachi Thangapandian,17th Lok Sabha,Healthcare,Procurement of Dialysis Units and Diagnostic Equipment for Community Health Centre at Chennai,"Chennai Sub-Division, Tamil Nadu",3280000,2860000,2310000,2870000,2023-09-04,2023-10-24,2023-11-20,2024-06-08,Completed,Coimbatore City Municipal Corporation,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0118,Madhya Pradesh,Indore,Indore,Shankar Lalwani,17th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Indore,"Indore Sub-Division, Madhya Pradesh",1990000,1800000,1730000,1260000,2023-06-26,2023-08-16,2023-08-31,,Ongoing,Bhopal Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0119,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,18th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",990000,940000,630000,120000,2024-11-10,2024-11-29,,,Sanctioned,DRDA Dharwad,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0120,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,17th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",1150000,1020000,800000,970000,2023-10-11,2023-11-10,2023-12-01,2024-07-17,Completed,Indore Development Authority,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0121,Uttar Pradesh,Prayagraj,Allahabad,Rita Bahuguna Joshi,18th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Prayagraj,"Prayagraj Sub-Division, Uttar Pradesh",1570000,1500000,1100000,740000,2024-08-25,2024-10-03,2024-11-12,,Ongoing,Kanpur Development Authority,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0122,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Sports Facility,Construction of Synthetic Badminton Court and Indoor Recreational Facility at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",1350000,1350000,1270000,1290000,2024-12-17,2025-02-06,2025-03-14,2025-06-28,Completed,UP Jal Nigam Lucknow,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
